站号,站名,省份,经度,纬度,测站海拔
50136,漠河,黑龙江,122.52,52.97,438.5
50137,北极村,黑龙江,122.37,53.47,296.0
50246,塔河,黑龙江,124.72,52.35,361.9
50247,呼中,黑龙江,123.57,52.03,514.5
50349,新林,黑龙江,124.4,51.67,501.5
50353,呼玛,黑龙江,126.65,51.72,173.9
50425,额尔古纳,内蒙古,120.18,50.25,581.4
50431,根河,内蒙古,121.52,50.78,717.0
50434,图里河,内蒙古,121.68,50.48,732.6
50442,加格达奇,黑龙江,124.12,50.4,371.7
50445,鄂伦春旗,内蒙古,123.73,50.58,423.7
50468,黑河,黑龙江,127.45,50.25,166.4
50514,满洲里,内蒙古,117.32,49.58,661.8
50524,陈巴尔虎旗,内蒙古,119.43,49.32,576.6
50525,鄂温克旗,内蒙古,119.75,49.15,620.8
50526,牙克石,内蒙古,120.7,49.28,668.8
50527,海拉尔,内蒙古,119.7,49.25,649.6
50548,小二沟,内蒙古,123.72,49.2,286.1
50557,嫩江,黑龙江,125.23,49.17,242.2
50564,孙吴,黑龙江,127.35,49.43,234.5
50566,逊克,黑龙江,128.47,49.55,116.0
50603,新巴尔虎右旗,内蒙古,116.82,48.67,542.4
50618,新巴尔虎左旗,内蒙古,118.27,48.22,642.0
50632,博克图,内蒙古,121.92,48.77,739.7
50639,扎兰屯,内蒙古,122.73,48.0,306.5
50645,莫力达瓦旗,内蒙古,124.48,48.48,195.0
50646,讷河,黑龙江,124.85,48.48,230.6
50647,阿荣旗,内蒙古,123.48,48.13,236.2
50655,五大连池,黑龙江,126.18,48.5,266.8
50656,北安,黑龙江,126.52,48.28,278.4
50658,克山,黑龙江,125.78,48.08,291.0
50659,克东,黑龙江,126.25,48.03,297.0
50673,嘉荫,黑龙江,130.4,48.88,90.4
50674,汤旺,黑龙江,129.43,48.57,404.5
50727,阿尔山,内蒙古,119.93,47.17,997.2
50739,龙江,黑龙江,123.18,47.33,209.3
50741,甘南,黑龙江,123.5,47.93,185.2
50742,富裕,黑龙江,124.48,47.8,162.7
